n,heapsort.ticks,i,
150000,3277850,3277850,705871
180000,3983721,3983721,
210000,4693850,4689592,
240000,5409143,5395463,
270000,6126853,6101334,
300000,6859031,6807205,
330000,7592005,7513076,
360000,8329235,8218947,
390000,9068463,8924818,
420000,9809774,9630689,
450000,10552957,10336560,
480000,11296161,11042431,
510000,12044660,11748302,
540000,12794272,12454173,
570000,13554660,13160044,
600000,14312991,13865915,
630000,15081971,14571786,
660000,15844057,15277657,
690000,16612595,15983528,
720000,17378248,16689399,
750000,18147855,17395270,
780000,18916362,18101141,
810000,19687673,18807012,
840000,20459577,19512883,
870000,21232240,20218754,
900000,22005691,20924625,
930000,22778761,21630496,
960000,23554124,22336367,
990000,24328033,23042238,
1020000,25105787,23748109,
1050000,25879696,24453980,
1080000,26665660,25159851,
1110000,27458999,25865722,
1140000,28248120,26571593,
1170000,29041840,27277464,
1200000,29831836,27983335,
1230000,30623596,28689206,
1260000,31416309,29395077,
1290000,32213287,30100948,
1320000,33007616,30806819,
1350000,33803531,31512690,
1380000,34601217,32218561,
1410000,35398360,32924432,
1440000,36197320,33630303,
1470000,36996782,34336174,
