n,heapsort.time
150000,138
180000,177
210000,216
240000,255
270000,303
300000,356
330000,415
360000,459
390000,500
420000,569
450000,611
480000,665
510000,726
540000,793
570000,845
600000,893
630000,943
660000,1017
690000,1087
720000,1128
750000,1187
780000,1274
810000,1301
840000,1363
870000,1499
900000,1474
930000,1561
960000,1635
990000,1647
1020000,1775
1050000,1865
1080000,1908
1110000,1995
1140000,2036
1170000,2092
1200000,2156
1230000,2263
1260000,2307
1290000,2405
1320000,2506
1350000,2469
1380000,3103
1410000,2756
1440000,2877
1470000,2928
